KreisID;X;Y;DG_Rubus;DG_Strauchschicht;DG_Baumschicht;team;Anz_reh_lokalisationen;DG_us;DG_os
13;684650;237525;75;75;35;team4;1;0.793371149;0.915233272
14;684650;237575;80;80;50;team4;0;0.436869354;0.852008117
15;684625;237200;10;70;80;team4;0;0.366997181;0.919913795
16;684600;237225;5;40;80;team4;0;0.345624242;0.81585193
17;684600;237600;40;95;75;team4;2;0.420403996;0.745451319
18;684575;237275;40;15;40;team4;0;0.125272829;0.637342799
19;684575;237350;90;60;80;team4;5;0.53473802;0.823270793
20;684525;237250;20;20;15;team4;0;0.10111297;0.935076069
21;684525;237325;40;40;25;team4;1;0.301899452;0.80247465
22;684525;237575;5;25;50;team4;0;0.181066268;0.730867143
23;684500;237325;50;40;10;team4;5;0.190901707;0.220329615
24;684850;237275;15;45;60;team4;0;0.500068652;0.928128812
0;684800;237100;25;100;100;team5;0;0.304504299;0.938230227
1;684800;237375;60;80;90;team5;0;0.160964376;0.903884388
2;684775;237075;5;70;90;team5;0;0.246408451;0.907271806
3;684775;237250;5;95;100;team5;0;0.252664065;0.991399599
4;684750;237300;60;60;90;team5;3;0.376991874;0.94201826
5;684725;237200;30;60;90;team5;4;0.233899798;0.650846855
6;684725;237300;60;70;90;team5;1;0.184611796;0.783686616
7;684700;237175;60;80;90;team5;11;0.300404145;0.708443204
8;684700;237225;5;10;100;team5;0;0.120546575;0.947043614
9;684700;237300;90;60;95;team5;0;0.165936181;0.857763693
10;684650;237150;5;50;60;team5;0;0.395629631;0.772251527
11;684650;237375;90;60;50;team5;0;0.069238394;0.825689658
12;684625;237225;50;80;80;team5;10;0.396919668;0.645349897
13;684625;237275;0;95;100;team5;4;0.455668676;0.789822518
14;684625;237350;100;20;40;team5;9;0.30365593;0.624670388
15;684600;237425;90;90;60;team5;0;0.059520975;0.564361056
16;684550;237375;10;30;90;team5;6;0.505981312;0.87310852
17;684525;237400;100;70;80;team5;5;0.572495754;0.814568965
18;684500;237300;45;60;90;team5;4;0.417697386;0.654254565
19;684500;237400;80;70;60;team5;3;0.36195818;0.693280933
20;684475;237275;95;80;50;team5;0;0.192110601;0.849771807
21;684425;237275;20;40;90;team5;0;0.252594659;0.977373226
22;684425;237400;70;70;25;team5;0;0.091197434;0.474787022
23;684375;237325;50;10;20;team5;0;0.11426719;0.588696754
24;684375;237350;30;40;75;team5;0;0.14010306;0.80164808
0;684875;237150;23;30;60;team6;0;0.489820948;0.961480736
1;684800;237225;3;30;86;team6;0;0.32960726;0.870091282
2;684775;237450;95;45;4;team6;0;0.033657497;0.794756594
3;684750;237200;6;15;31;team6;2;0.303219462;0.661394526
4;684750;237450;50;33;27;team6;0;0.106980977;0.937606503
5;684625;237375;95;20;18;team6;4;0.174949506;0.800436111
6;684625;237475;25;45;55;team6;0;0.149379641;0.951587223
7;684625;237500;1;85;65;team6;4;0.492235592;0.746708928
8;684625;237625;30;36;40;team6;0;0.601506886;0.892337733
9;684600;237275;2;20;68;team6;13;0.358741747;0.703042598
10;684600;237375;50;28.5;55;team6;5;0.28494863;0.560517245
11;684575;237525;2;40;60;team6;0;0.320033056;0.968443206
12;684550;237500;3;32;60;team6;0;0.083818526;0.720770788
13;684500;237250;55;40;35;team6;0;0.285634163;0.913899594
14;684425;237200;0;20;70;team6;0;0.157093875;0.824568965
15;684400;237400;45;25;50;team6;0;0.145728489;0.389792091
16;684350;237375;0.1;5;26;team6;0;0.1554428;0.664290061
17;684775;237200;13;5;48;team6;5;0.090244497;0.700948278
18;684725;237425;22;65;45;team6;0;0.364698058;0.839056798
19;684700;237200;5;11;85;team6;0;0.18502478;0.879011157
20;684675;237450;15;25;65;team6;1;0.467973814;0.942794125
21;684600;237325;33;3;43;team6;2;0.232090813;0.517043611
22;684600;237375;70;50;30;team6;5;0.28494863;0.560517245
23;684575;237475;6;65;70;team6;0;0.197501142;0.839832658
24;684525;237350;30;50;54;team6;2;0.163036597;0.553646045
