Farm;Sex;Length;Ecervi
CB;male;162;1
CB;male;162;0
CB;male;161;1
CB;male;160;1
CB;male;160;1
CB;male;160;0
CB;male;159;1
CB;male;157;1
CB;male;156.5;1
CB;male;155.2;1
CB;male;155;0
CB;male;154.5;1
CB;male;154;1
CB;male;153.5;1
CB;male;153.5;1
CB;male;153;1
CB;male;153;1
CB;male;153;1
CB;male;152.8;1
CB;male;149;1
CB;male;147;1
CB;male;146;1
CB;male;143;1
CB;male;143;1
CB;male;142;0
CB;male;139.1;1
CB;male;139;0
CB;male;139;0
CB;male;138.2;1
CB;male;136;0
CB;male;135.5;0
CB;male;133.5;0
CB;male;132;0
CB;male;131.5;0
CB;male;131;0
CB;male;128.5;1
CB;male;127.9;0
CB;male;126;0
CB;male;120.5;0
CB;male;116;0
CB;male;114.5;0
CB;male;111.9;0
CB;male;110.3;0
CB;female;197;1
CB;female;190;1
CB;female;189;1
CB;female;187;1
CB;female;183;1
CB;female;179;0
CB;female;177;1
CB;female;170;0
CB;female;169.8;1
CB;female;169.5;1
CB;female;165;0
CB;female;163.5;1
CB;female;160;1
CB;female;158;1
CB;female;157;1
CB;female;156.5;0
CB;female;156;0
CB;female;154;1
CB;female;151.5;1
CB;female;151;1
CB;female;150;0
CB;female;148;1
CB;female;148;1
CB;female;147;1
CB;female;137.5;1
CB;female;130.5;1
CB;female;121.5;0
CRC;female;116.5;0
HB;male;174;1
HB;male;153;0
HB;male;147;0
HB;female;172;0
HB;female;170;0
HB;female;165;0
HB;female;163;0
HB;female;163;0
HB;female;162;1
HB;female;159;0
HB;female;159;0
HB;female;153;0
HB;female;152;0
HB;female;149.8;0
HB;female;145;0
HB;female;143;0
HB;female;142;0
LN;male;177;1
LN;male;176;1
LN;male;165;1
LN;male;165;1
LN;female;199;1
LN;female;198;1
LN;female;191;1
LN;female;190;1
LN;female;190;1
LN;female;189;1
LN;female;189;1
LN;female;184;1
LN;female;184;1
LN;female;182;1
LN;female;181;1
LN;female;181;1
LN;female;181;1
LN;female;179;1
LN;female;178;1
LN;female;178;1
LN;female;177;1
LN;female;176;1
LN;female;175;1
LN;female;174;1
LN;female;174;1
LN;female;172;1
LN;female;170;1
LN;female;166;1
LN;female;163;0
LN;female;160;1
LN;female;145;1
LN;female;118;0
LN;female;103;0
MAN;male;163;0
MAN;male;159;0
MAN;male;151;1
MAN;male;146;1
MAN;male;146;0
MAN;male;143;1
MAN;male;129;0
MAN;male;115;0
MAN;female;199;1
MAN;female;199;0
MAN;female;190;0
MAN;female;188;1
MAN;female;187;0
MAN;female;187;0
MAN;female;182;0
MAN;female;181;1
MAN;female;180;0
MAN;female;178;0
MAN;female;176;0
MAN;female;174;0
MAN;female;174;0
MAN;female;173;1
MAN;female;172;1
MAN;female;171;1
MAN;female;170;0
MAN;female;168;1
MAN;female;128;1
MB;male;169;1
MB;male;168.5;1
MB;male;168;1
MB;male;166.5;1
MB;male;164.2;1
MB;male;159.7;1
MB;male;157;1
MB;male;156.5;1
MB;male;155.5;1
MB;male;154;1
MB;male;153;1
MB;male;152.2;1
MB;male;150;1
MB;male;148;1
MB;male;146;1
MB;male;142.2;0
MB;male;115;1
MB;female;190;1
MB;female;184;0
MB;female;182;0
MB;female;181.9;1
MB;female;181.5;1
MB;female;180.7;1
MB;female;180.3;1
MB;female;179.4;1
MB;female;179;1
MB;female;179;0
MB;female;176;1
MB;female;172.5;1
MB;female;172;1
MB;female;172;1
MB;female;171;1
MB;female;168;1
MB;female;153;1
MO;male;191;1
MO;male;181;1
MO;male;178;1
MO;male;178;1
MO;male;174;0
MO;male;173;0
MO;male;173;0
MO;male;173;0
MO;male;171;1
MO;male;171;1
MO;male;171;0
MO;male;171;0
MO;male;170.5;1
MO;male;170;0
MO;male;170;0
MO;male;170;0
MO;male;169;1
MO;male;169;0
MO;male;168;1
MO;male;168;1
MO;male;168;1
MO;male;168;0
MO;male;168;0
MO;male;167;1
MO;male;167;1
MO;male;167;1
MO;male;167;0
MO;male;167;0
MO;male;166.5;0
MO;male;166;1
MO;male;166;0
MO;male;166;0
MO;male;165;1
MO;male;165;1
MO;male;165;1
MO;male;165;1
MO;male;165;0
MO;male;165;0
MO;male;164;1
MO;male;164;0
MO;male;163;1
MO;male;163;1
MO;male;163;1
MO;male;163;0
MO;male;162;1
MO;male;162;0
MO;male;162;0
MO;male;162;0
MO;male;162;0
MO;male;162;0
MO;male;161;1
MO;male;161;0
MO;male;160.5;1
MO;male;160;0
MO;male;159.5;0
MO;male;159;1
MO;male;159;1
MO;male;159;1
MO;male;159;1
MO;male;159;1
MO;male;159;0
MO;male;158.5;1
MO;male;158.5;0
MO;male;158;1
MO;male;158;1
MO;male;158;0
MO;male;158;0
MO;male;158;0
MO;male;158;0
MO;male;158;0
MO;male;158;0
MO;male;157.2;1
MO;male;157;1
MO;male;157;1
MO;male;157;0
MO;male;156.5;1
MO;male;156;0
MO;male;155;0
MO;male;155;0
MO;male;153;1
MO;male;153;0
MO;male;153;0
MO;male;152;1
MO;male;152;1
MO;male;152;1
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;152;0
MO;male;151;0
MO;male;151;0
MO;male;150.5;0
MO;male;150;1
MO;male;150;0
MO;male;150;0
MO;male;149;0
MO;male;148;1
MO;male;148;0
MO;male;148;0
MO;male;147;1
MO;male;147;0
MO;male;147;0
MO;male;145;0
MO;male;143;0
MO;male;143;0
MO;male;141.5;0
MO;male;139;0
MO;male;138;0
MO;male;136;0
MO;male;135;0
MO;male;135;0
MO;male;132;0
MO;male;132;0
MO;male;131;1
MO;male;131;0
MO;male;127;0
MO;male;125;0
MO;male;124;0
MO;male;121;0
MO;male;116;0
MO;male;91.6;0
MO;male;85;0
MO;female;214;0
MO;female;209;0
MO;female;208;1
MO;female;205;1
MO;female;202;1
MO;female;202;0
MO;female;201;1
MO;female;200;1
MO;female;199;1
MO;female;198;1
MO;female;198;1
MO;female;197;1
MO;female;197;1
MO;female;197;1
MO;female;197;1
MO;female;197;0
MO;female;196;1
MO;female;196;1
MO;female;195;0
MO;female;194;1
MO;female;191;0
MO;female;188.5;1
MO;female;188;0
MO;female;187;1
MO;female;187;1
MO;female;187;0
MO;female;186;1
MO;female;186;1
MO;female;185;0
MO;female;184;0
MO;female;183;0
MO;female;182;1
MO;female;182;1
MO;female;182;0
MO;female;179;1
MO;female;178;1
MO;female;177;0
MO;female;176;1
MO;female;174;1
MO;female;174;1
MO;female;174;0
MO;female;174;0
MO;female;172;1
MO;female;171;0
MO;female;171;0
MO;female;170;1
MO;female;170;0
MO;female;170;0
MO;female;168;1
MO;female;167;0
MO;female;164;0
MO;female;164;0
MO;female;163;0
MO;female;162;1
MO;female;160;0
MO;female;158;1
MO;female;158;1
MO;female;158;0
MO;female;155;0
MO;female;155;0
MO;female;152;0
MO;female;152;0
MO;female;149;0
MO;female;148;1
MO;female;148;0
MO;female;147;0
MO;female;145;0
MO;female;144;0
MO;female;142.3;0
MO;female;142;1
MO;female;142;0
MO;female;139;0
MO;female;138;0
MO;female;137;0
MO;female;136;0
MO;female;136;0
MO;female;136;0
MO;female;132;1
MO;female;132;0
MO;female;130;0
MO;female;126;0
MO;female;126;0
MO;female;75;0
NC;male;166;1
NC;male;164;1
NC;male;159;0
NC;male;158;1
NC;male;153;0
NC;male;153;0
NC;male;150;0
NC;male;143;1
NC;male;143;0
NC;female;190.5;1
NC;female;187.5;0
NC;female;182;0
NC;female;178.6;1
NC;female;177;0
NC;female;177;0
NC;female;175;0
NC;female;174;0
NC;female;173;1
NC;female;172;1
NC;female;172;0
NC;female;171;1
NC;female;170;1
NC;female;169.4;1
NC;female;168.2;0
NC;female;168;0
NC;female;163;1
NC;female;160;1
NV;male;169;1
NV;male;166;1
NV;male;165;1
NV;male;164;1
NV;male;162.5;0
NV;male;159;1
NV;male;158;0
NV;male;154;0
NV;male;153;1
NV;male;152;0
NV;male;151;0
NV;male;150.5;0
NV;male;149;1
NV;male;148.7;1
NV;male;148;1
NV;male;147;0
NV;male;147;0
NV;male;138;1
NV;male;137.8;1
NV;male;132;0
PN;male;173.5;1
PN;male;168.1;1
PN;male;165.5;1
PN;male;165;1
PN;male;163;1
PN;male;161;1
PN;male;160;1
PN;male;155;1
PN;male;152.8;1
PN;male;152;1
PN;male;149.8;1
PN;male;149.6;1
PN;male;149;1
PN;male;148;1
PN;male;146.7;0
PN;male;130;0
PN;male;126;0
PN;female;184;1
PN;female;184;1
PN;female;183;1
PN;female;179;1
PN;female;178;1
PN;female;178;1
PN;female;177;1
PN;female;176;1
PN;female;176;1
PN;female;175;1
PN;female;175;1
PN;female;173;1
PN;female;172;1
PN;female;172;1
PN;female;171;1
PN;female;169;1
PN;female;166;1
PN;female;166;1
PN;female;166;1
PN;female;162;1
QM;male;168;1
QM;male;165;1
QM;male;165;0
QM;male;162;1
QM;male;162;1
QM;male;161;1
QM;male;160;0
QM;male;158.6;1
QM;male;157.5;1
QM;male;157;1
QM;male;157;1
QM;male;157;1
QM;male;155;1
QM;male;154;1
QM;male;154;1
QM;male;153;1
QM;male;152;1
QM;male;152;1
QM;male;151;1
QM;male;149.7;1
QM;male;149.5;1
QM;male;144;0
QM;male;143;1
QM;male;137;1
QM;male;136;0
QM;male;135;0
QM;male;131;0
QM;male;129;1
QM;male;117;1
QM;male;115;0
QM;male;114;1
QM;male;108;1
QM;male;106;0
QM;female;179;1
QM;female;177;1
QM;female;175.5;0
QM;female;175;1
QM;female;173.5;1
QM;female;168.5;1
QM;female;162;1
QM;female;161.5;1
QM;female;160;1
QM;female;160;1
QM;female;160;1
QM;female;157;1
QM;female;157;0
QM;female;155.5;1
QM;female;152.5;1
QM;female;148;1
QM;female;148;1
QM;female;145;0
QM;female;144.5;1
QM;female;144.2;1
QM;female;143;1
QM;female;142.1;1
QM;female;138;1
QM;female;130;1
QM;female;120;1
QM;female;120;1
QM;female;112;0
RF;male;163;1
RF;male;163;1
RF;male;162.4;1
RF;male;157;1
RF;male;150;1
RF;male;141;1
RF;male;118;0
RF;male;114;0
RF;female;181;1
RF;female;180;1
RF;female;177;1
RF;female;177;1
RF;female;174;1
RF;female;172;1
RF;female;170;1
RF;female;168.5;1
RF;female;160;1
RF;female;160;1
RF;female;155;1
RF;female;155;1
RN;male;164.3;0
RN;male;163;1
RN;male;151;0
RN;male;150;0
RN;male;137;0
RN;male;128;0
RN;male;122;0
RN;female;191;0
RN;female;189;1
RN;female;178;0
RN;female;176;1
RN;female;174;0
RN;female;174;0
RN;female;173;1
RN;female;172;0
RN;female;169;1
RN;female;169;0
RN;female;166;0
RN;female;160;1
RN;female;159;1
RN;female;143;0
RN;female;134;0
RN;female;131;0
RO;male;170;0
RO;male;157.5;1
RO;male;156;1
RO;male;151;1
RO;male;144.9;1
RO;male;144;1
RO;male;137.9;1
RO;male;131;1
RO;female;186;1
RO;female;182;1
RO;female;179;1
RO;female;178;1
RO;female;177;1
RO;female;177;1
RO;female;175;1
RO;female;174;1
RO;female;174;1
RO;female;172.5;1
RO;female;172;1
RO;female;171;1
RO;female;169;1
RO;female;168;1
RO;female;163;1
RO;female;163;1
RO;female;162;1
RO;female;161;1
RO;female;160;1
RO;female;159;1
RO;female;158;1
RO;female;126.4;0
SAU;female;185.5;0
SAU;female;182;0
SAU;female;166;0
SE;male;175;1
SE;male;172;1
SE;male;167;1
SE;male;163.5;1
SE;male;162.5;1
SE;male;161;1
SE;male;159;0
SE;male;157.5;1
SE;male;151.5;1
SE;male;146.5;1
SE;male;105.5;0
SE;female;194;1
SE;female;191;0
SE;female;190;1
SE;female;189;1
SE;female;188;1
SE;female;181;1
SE;female;180;1
SE;female;179;1
SE;female;178;1
SE;female;177;1
SE;female;176;0
SE;female;174;1
SE;female;174;1
SE;female;121.5;0
SE;female;117;0
TI;female;200;1
TI;female;192;1
TI;female;188;1
TI;female;187;1
TI;female;185;1
TI;female;184;1
TI;female;184;1
TI;female;184;1
TI;female;183;0
TI;female;182;1
TI;female;182;1
TI;female;179;1
TI;female;179;1
TI;female;179;1
TI;female;178;1
TI;female;175;1
TI;female;175;1
TI;female;172;1
TI;female;170;1
TN;male;165;1
TN;male;163;1
TN;male;161;1
TN;male;160;1
TN;male;160;1
TN;male;157;1
TN;male;151;1
TN;male;149;1
TN;male;149;0
TN;male;148;1
TN;male;148;1
TN;male;146.5;1
TN;male;146;1
TN;male;138;1
TN;male;135;0
TN;male;124;0
TN;female;179;1
TN;female;176;1
TN;female;173;0
TN;female;158;1
TN;female;155;1
TN;female;154.5;0
TN;female;145;0
TN;female;144.9;1
TN;female;125;0
VISO;female;174.5;1
VISO;female;167;1
VISO;female;167;0
VISO;female;166.5;1
VISO;female;166.1;1
VISO;female;165;1
VISO;female;164.7;1
VISO;female;161;1
VISO;female;160;1
VISO;female;158;0
VISO;female;157;1
VISO;female;149;1
VISO;female;114.3;1
VY;male;165;1
VY;male;151;1
VY;male;146;1
VY;female;166;1
VY;female;148;0
VY;female;143;1
VY;female;140;1
