"pH.peat";"log.ash.perc";"Ca_peat";"Mg_peat";"Na_peat";"K_peat";"Acidity.peat";"CEC.peat";"Base.sat.perc";"P.peat";"Waterlev.max";"Waterlev.av";"Waterlev.min";"log.peat.lev";"log.slope.deg";"pH.water";"log.cond.water";"log.Ca.water";"x.axis";"y.axis"
4,8;1,83;18,6;0,99;0,26;0,28;32;52;39;0;0;11;42;0,65;0,77;5;1,34;1,39;7;4
5,9;1,91;15;0,74;0,17;0,22;12;28;57;0;0;12;60;0,39;1;6,3;1,41;1,53;8;4
5,4;1,69;16,8;1,25;0,3;0,7;25;44;43;1;-1;8;39;0,6;0,95;6,1;1,32;1,47;5;3
5,3;1,73;15,9;1,25;0,26;0,63;28;46;39;1;-1;7;36;0;1;5,8;1,3;1,38;4;3
6,4;1,83;24,5;1,08;0,35;0,65;17;44;61;4;1;12;41;0,39;1;7,1;1,82;1,94;3;3
6;1,9;18,6;0,82;0,22;0,28;11;31;64;0;4;22;70;0,17;1,07;7,3;1,9;2,01;2;3
6,2;1,88;19,6;0,86;0,22;0,28;11;31;67;0;4;23;83;0,17;1;7,4;1,96;2,07;1;3
6,5;1,87;24,5;1,25;0,26;0,22;8;34;77;1;7;22;56;0,3;1,39;7,9;2,43;2,26;1;2
6,6;1,65;24,5;1,08;0,22;0,22;8;34;78;0;5;18;51;0,3;1,32;7,8;2,32;2,43;2;2
6,4;1,86;16,8;0,78;0,22;0,28;14;32;57;0;4;13;34;0,3;1,47;7,6;2,03;2,15;3;2
6,3;1,89;18,6;0,91;0,22;0,3;14;34;59;1;0;6;23;0;1,44;7,1;1,39;1,79;4;2
6,5;1,88;24,5;0,91;0,22;0,36;12;37;69;0;-1;7;32;0,17;1,43;7,5;1,81;2,03;5;2
6,3;1,74;19,6;1,17;0,3;0,76;29;51;43;2;0;11;41;0,3;1,07;6,6;1,49;1,69;5;1
6,2;1,91;11,4;0,82;0,17;0,33;17;30;43;2;4;19;63;0,39;1,14;7,2;1,74;1,88;4;1
6;1,81;10;0,86;0,26;0,5;32;43;27;3;-1;8;32;0,39;0,9;6;1,27;1,47;3;1
5,8;1,91;20,5;1,25;0,22;0,22;13;35;64;1;4;21;70;0,3;1,04;7,2;1,97;2,07;2;1
6,2;1,85;22,5;1,34;0,26;0,28;13;40;69;0;1;18;79;0,3;0,9;7,3;2,13;2,22;1;1
